date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,268,96.0
2020-04-30,261,96.0
2020-05-01,271,98.0
2020-05-02,242,92.0
2020-05-03,273,90.0
2020-05-04,258,86.0
2020-05-05,226,81.0
2020-05-06,248,80.0
2020-05-07,237,79.0
2020-05-08,233,76.0
2020-05-09,230,76.0
2020-05-10,197,74.0
2020-05-11,184,72.0
2020-05-12,189,67.0
2020-05-13,207,66.0
2020-05-14,172,71.0
2020-05-15,164,70.0
2020-05-16,169,75.0
2020-05-17,167,71.0
2020-05-18,164,71.0
2020-05-19,166,65.0
2020-05-20,164,63.0
2020-05-21,156,65.0
2020-05-22,142,59.0
2020-05-23,131,60.0
2020-05-24,134,54.0
2020-05-25,132,61.0
2020-05-26,136,50.0
2020-05-27,137,50.0
2020-05-28,138,50.0
2020-05-29,129,44.0
2020-05-30,129,39.0
2020-05-31,117,37.0
2020-06-01,115,37.0
2020-06-02,116,33.0
2020-06-03,107,29.0
2020-06-04,86,27.0
2020-06-05,77,20.0
2020-06-06,72,23.0
2020-06-07,72,21.0
2020-06-08,85,24.0
2020-06-09,75,17.0
2020-06-10,71,20.0
2020-06-11,66,20.0
2020-06-12,68,19.0
2020-06-13,67,22.0
2020-06-14,66,19.0
2020-06-15,61,21.0
2020-06-16,63,22.0
2020-06-17,61,19.0
2020-06-18,57,16.0
2020-06-19,52,17.0
2020-06-20,36,11.0
2020-06-21,38,11.0
2020-06-22,37,9.0
2020-06-23,42,12.0
2020-06-24,48,11.0
2020-06-25,44,13.0
2020-06-26,40,15.0
2020-06-27,33,11.0
2020-06-28,44,10.0
2020-06-29,38,10.0
2020-06-30,41,8.0
2020-07-01,42,11.0
2020-07-02,36,9.0
2020-07-03,38,8.0
2020-07-04,29,6.0
2020-07-05,30,6.0
2020-07-06,29,6.0
