date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,259,62.0
2020-04-30,245,60.0
2020-05-01,242,53.0
2020-05-02,232,55.0
2020-05-03,232,57.0
2020-05-04,227,54.0
2020-05-05,233,53.0
2020-05-06,238,57.0
2020-05-07,237,58.0
2020-05-08,219,53.0
2020-05-09,181,46.0
2020-05-10,188,43.0
2020-05-11,170,40.0
2020-05-12,156,40.0
2020-05-13,143,35.0
2020-05-14,119,33.0
2020-05-15,116,33.0
2020-05-16,113,35.0
2020-05-17,117,31.0
2020-05-18,122,31.0
2020-05-19,115,30.0
2020-05-20,112,33.0
2020-05-21,109,32.0
2020-05-22,105,32.0
2020-05-23,100,31.0
2020-05-24,95,30.0
2020-05-25,103,52.0
2020-05-26,99,37.0
2020-05-27,98,31.0
2020-05-28,100,30.0
2020-05-29,99,28.0
2020-05-30,91,25.0
2020-05-31,95,24.0
2020-06-01,86,18.0
2020-06-02,71,18.0
2020-06-03,74,17.0
2020-06-04,79,18.0
2020-06-05,79,19.0
2020-06-06,82,20.0
2020-06-07,71,16.0
2020-06-08,62,14.0
2020-06-09,72,15.0
2020-06-10,78,19.0
2020-06-11,78,20.0
2020-06-12,68,17.0
2020-06-13,69,11.0
2020-06-14,57,13.0
2020-06-15,53,11.0
2020-06-16,58,14.0
2020-06-17,62,16.0
2020-06-18,56,15.0
2020-06-19,56,8.0
2020-06-20,54,12.0
2020-06-21,51,10.0
2020-06-22,58,13.0
2020-06-23,64,14.0
2020-06-24,60,18.0
2020-06-25,56,13.0
2020-06-26,43,13.0
2020-06-27,42,9.0
2020-06-28,45,11.0
2020-06-29,34,9.0
2020-06-30,33,7.0
2020-07-01,38,10.0
2020-07-02,34,7.0
2020-07-03,43,7.0
2020-07-04,29,6.0
2020-07-05,34,4.0
2020-07-06,31,6.0
