date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,77,8.0
2020-04-30,68,8.0
2020-05-01,62,6.0
2020-05-02,63,8.0
2020-05-03,58,9.0
2020-05-04,53,6.0
2020-05-05,53,5.0
2020-05-06,46,5.0
2020-05-07,54,5.0
2020-05-08,45,5.0
2020-05-09,51,7.0
2020-05-10,48,6.0
2020-05-11,52,4.0
2020-05-12,47,6.0
2020-05-13,50,5.0
2020-05-14,49,6.0
2020-05-15,44,8.0
2020-05-16,48,6.0
2020-05-17,53,7.0
2020-05-18,47,2.0
2020-05-19,45,2.0
2020-05-20,48,6.0
2020-05-21,37,0.0
2020-05-22,39,3.0
2020-05-23,35,3.0
2020-05-24,31,1.0
2020-05-25,33,1.0
2020-05-26,40,7.0
2020-05-27,41,6.0
2020-05-28,39,1.0
2020-05-29,28,3.0
2020-05-30,28,2.0
2020-05-31,26,2.0
2020-06-01,27,1.0
2020-06-02,30,1.0
2020-06-03,21,0.0
2020-06-04,11,0.0
2020-06-05,22,2.0
2020-06-06,18,2.0
2020-06-07,19,1.0
2020-06-08,26,3.0
2020-06-09,33,1.0
2020-06-10,27,2.0
2020-06-11,24,2.0
2020-06-12,25,3.0
2020-06-13,21,1.0
2020-06-14,18,0.0
2020-06-15,11,1.0
2020-06-16,17,1.0
2020-06-17,16,2.0
2020-06-18,16,1.0
2020-06-19,15,0.0
2020-06-20,18,1.0
2020-06-21,23,1.0
2020-06-22,20,0.0
2020-06-23,25,1.0
2020-06-24,17,0.0
2020-06-25,21,1.0
2020-06-26,18,0.0
2020-06-27,22,3.0
2020-06-28,20,1.0
2020-06-29,20,1.0
2020-06-30,14,0.0
2020-07-01,19,1.0
2020-07-02,14,2.0
2020-07-03,17,1.0
2020-07-04,15,1.0
2020-07-05,15,0.0
2020-07-06,14,0.0
