date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,184,78.0
2020-04-30,178,77.0
2020-05-01,171,79.0
2020-05-02,175,75.0
2020-05-03,170,69.0
2020-05-04,155,71.0
2020-05-05,163,68.0
2020-05-06,150,60.0
2020-05-07,145,56.0
2020-05-08,137,55.0
2020-05-09,130,57.0
2020-05-10,139,62.0
2020-05-11,149,66.0
2020-05-12,169,64.0
2020-05-13,166,61.0
2020-05-14,159,59.0
2020-05-15,153,54.0
2020-05-16,137,52.0
2020-05-17,121,52.0
2020-05-18,121,52.0
2020-05-19,119,49.0
2020-05-20,117,50.0
2020-05-21,117,44.0
2020-05-22,101,41.0
2020-05-23,105,43.0
2020-05-24,98,32.0
2020-05-25,92,35.0
2020-05-26,98,36.0
2020-05-27,92,31.0
2020-05-28,85,27.0
2020-05-29,77,29.0
2020-05-30,70,21.0
2020-05-31,72,22.0
2020-06-01,63,20.0
2020-06-02,64,20.0
2020-06-03,66,18.0
2020-06-04,59,21.0
2020-06-05,64,20.0
2020-06-06,74,22.0
2020-06-07,69,21.0
2020-06-08,57,15.0
2020-06-09,61,16.0
2020-06-10,61,11.0
2020-06-11,59,10.0
2020-06-12,48,10.0
2020-06-13,44,9.0
2020-06-14,45,9.0
2020-06-15,45,9.0
2020-06-16,39,8.0
2020-06-17,45,11.0
2020-06-18,41,11.0
2020-06-19,45,8.0
2020-06-20,52,13.0
2020-06-21,44,9.0
2020-06-22,41,7.0
2020-06-23,40,5.0
2020-06-24,36,5.0
2020-06-25,30,5.0
2020-06-26,32,6.0
2020-06-27,32,6.0
2020-06-28,30,5.0
2020-06-29,30,5.0
2020-06-30,35,5.0
2020-07-01,38,3.0
2020-07-02,33,7.0
2020-07-03,39,5.0
2020-07-04,36,6.0
2020-07-05,36,6.0
2020-07-06,23,2.0
