date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,59,16.0
2020-04-30,59,15.0
2020-05-01,49,14.0
2020-05-02,63,15.0
2020-05-03,66,15.0
2020-05-04,66,15.0
2020-05-05,63,14.0
2020-05-06,52,14.0
2020-05-07,57,13.0
2020-05-08,52,12.0
2020-05-09,47,9.0
2020-05-10,43,12.0
2020-05-11,43,12.0
2020-05-12,38,12.0
2020-05-13,39,15.0
2020-05-14,38,15.0
2020-05-15,43,13.0
2020-05-16,51,15.0
2020-05-17,50,14.0
2020-05-18,49,12.0
2020-05-19,48,12.0
2020-05-20,38,12.0
2020-05-21,42,14.0
2020-05-22,38,13.0
2020-05-23,42,10.0
2020-05-24,42,9.0
2020-05-25,42,10.0
2020-05-26,38,10.0
2020-05-27,44,12.0
2020-05-28,42,10.0
2020-05-29,44,9.0
2020-05-30,46,8.0
2020-05-31,43,10.0
2020-06-01,36,8.0
2020-06-02,34,10.0
2020-06-03,31,10.0
2020-06-04,38,9.0
2020-06-05,35,9.0
2020-06-06,26,9.0
2020-06-07,30,9.0
2020-06-08,30,9.0
2020-06-09,30,11.0
2020-06-10,27,9.0
2020-06-11,26,8.0
2020-06-12,22,9.0
2020-06-13,26,11.0
2020-06-14,24,10.0
2020-06-15,24,8.0
2020-06-16,25,7.0
2020-06-17,28,8.0
2020-06-18,27,9.0
2020-06-19,23,8.0
2020-06-20,23,8.0
2020-06-21,23,8.0
2020-06-22,19,5.0
2020-06-23,19,4.0
2020-06-24,14,4.0
2020-06-25,17,5.0
2020-06-26,17,5.0
2020-06-27,12,3.0
2020-06-28,12,4.0
2020-06-29,12,4.0
2020-06-30,27,2.0
2020-07-01,12,2.0
2020-07-02,12,4.0
2020-07-03,14,4.0
2020-07-04,14,5.0
2020-07-05,14,4.0
2020-07-06,17,4.0
