date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,458,146.0
2020-04-30,417,139.0
2020-05-01,387,131.0
2020-05-02,384,122.0
2020-05-03,355,119.0
2020-05-04,360,125.0
2020-05-05,371,130.0
2020-05-06,381,125.0
2020-05-07,344,112.0
2020-05-08,328,110.0
2020-05-09,322,101.0
2020-05-10,315,90.0
2020-05-11,299,92.0
2020-05-12,297,95.0
2020-05-13,314,97.0
2020-05-14,292,95.0
2020-05-15,281,84.0
2020-05-16,272,84.0
2020-05-17,246,75.0
2020-05-18,237,73.0
2020-05-19,247,87.0
2020-05-20,257,82.0
2020-05-21,251,75.0
2020-05-22,222,75.0
2020-05-23,215,70.0
2020-05-24,211,69.0
2020-05-25,207,65.0
2020-05-26,198,66.0
2020-05-27,208,60.0
2020-05-28,222,64.0
2020-05-29,189,53.0
2020-05-30,186,50.0
2020-05-31,169,47.0
2020-06-01,151,45.0
2020-06-02,158,50.0
2020-06-03,173,52.0
2020-06-04,167,47.0
2020-06-05,169,42.0
2020-06-06,172,45.0
2020-06-07,177,43.0
2020-06-08,168,44.0
2020-06-09,152,38.0
2020-06-10,151,38.0
2020-06-11,143,37.0
2020-06-12,117,29.0
2020-06-13,99,31.0
2020-06-14,115,30.0
2020-06-15,104,27.0
2020-06-16,95,23.0
2020-06-17,96,22.0
2020-06-18,88,20.0
2020-06-19,91,24.0
2020-06-20,88,23.0
2020-06-21,77,23.0
2020-06-22,82,23.0
2020-06-23,79,22.0
2020-06-24,82,24.0
2020-06-25,84,21.0
2020-06-26,71,13.0
2020-06-27,64,14.0
2020-06-28,67,14.0
2020-06-29,75,15.0
2020-06-30,77,14.0
2020-07-01,79,15.0
2020-07-02,73,10.0
2020-07-03,84,10.0
2020-07-04,67,10.0
2020-07-05,66,6.0
2020-07-06,62,6.0
